Location_Name,County,Utilities,Type,Address,Latitude,Longitude,url,Languages,Clients
AXIS Bank ATM,,atm,,", all",15.27486273,76.3827385,www.google.com,,
AXIS Bank ATM,,atm,,", all",15.27481943,76.3826141,www.google.com,,
Axis Bank ATM,,atm,,", all",12.99523913,77.5388279,www.google.com,,
AXIS BANK ATM,,atm,,", all",12.92829213,77.605239,www.google.com,,
"Axis, Hdfc",,atm,,", all",12.92728273,77.6379132,www.google.com,,
Axon Speciality Hospital,,Hospital,,", all",12.9738812,77.64608015,www.google.com,,
Ayyanakere,,,,", all",13.033968,76.741588,www.google.com,,
B R Hills,,,Hiking,"Hiking, all",11.995632,77.142764,www.google.com,,
B R Muniyappa Petrol / Gas Station,,Fuel Station,,", all",13.0045053,77.6960311,www.google.com,,
B.G Nagar,,Public Transport,,", all",12.9682877,76.7331266,www.google.com,,
B.N. Kamath Petrol Station,,Fuel Station,,", all",13.9222478,75.5689755,www.google.com,,
Baba Budangiri,,,,", all",13.422865,75.770388,www.google.com,,
Baba Budangiri,,,,", all",13.422865,75.770388,www.google.com,,
Bablad,,Public Transport,,", all",17.3368349,76.7793374,www.google.com,,
Baby Delivery Block,,Hospital,,", all",12.52525373,76.89981627,www.google.com,,
Badami Cave Temples,,,Hiking,"Hiking, all",15.916651,75.691004,www.google.com,,
Badami Caves,,,Heritage,"Heritage, all",15.917536,75.686193,www.google.com,,
Badami Caves,,,Heritage,"Heritage, all",15.916651,75.691004,www.google.com,,
Badami Fort,,,Heritage,"Heritage, all",15.922744,75.68408,www.google.com,,
Badami Museum,,,Heritage,"Heritage, all",15.921324,75.684944,www.google.com,,
Badami South Fort,,,Heritage,"Heritage, all",15.918155,75.684605,www.google.com,,
Badavilinga Temple,,,Spiritual,"Spiritual, all",15.329328,76.459049,www.google.com,,
Bagalkot,,Public Transport,,", all",16.1793224,75.6999315,www.google.com,,
Bageshapura,,Public Transport,,", all",13.1432231,76.2293373,www.google.com,,
Baiyyappanahalli,,Public Transport,,", all",12.9907594,77.6523612,www.google.com,,
Baiyyappanahalli Junction,,Public Transport,,", all",12.9912092,77.6517139,www.google.com,,
Balaji Lodge,,Hotel,,", all",13.84981685,75.70454115,www.google.com,,
Balenahalli,,Public Transport,,", all",14.2444721,76.5545989,www.google.com,,
Balganur,,Public Transport,,", all",15.5947037,75.6027691,www.google.com,,
Ballari Cantonment,,Public Transport,,", all",15.1582519,76.8835118,www.google.com,,
Ballari Junction,,Public Transport,,", all",15.1455319,76.9235821,www.google.com,,
Balle Elephant Camp,,,,", all",11.935352,76.19703,www.google.com,,
Ballekere,,Public Transport,,", all",13.4991629,76.0254157,www.google.com,,
Balligavi Kedareshwar,,,,", all",14.394072,75.244292,www.google.com,,
Balmuri Falls,,,Waterfalls,"Waterfalls, all",12.413694,76.604962,www.google.com,,
Balupete,,Public Transport,,", all",12.9580647,75.8833282,www.google.com,,
Banasandra,,Public Transport,,", all",13.2655514,76.6606063,www.google.com,,
Banashankari,,Public Transport,,", all",13.2666425,76.5246534,www.google.com,,
Banashankari,,Public Transport,,", all",12.9152208,77.573598,www.google.com,,
Banashankari Temple,,,Spiritual,"Spiritual, all",15.887195,75.704674,www.google.com,,
Banaswadi,,Public Transport,,", all",13.0058357,77.6281321,www.google.com,,
Banavar,,Public Transport,,", all",13.3958245,76.140481,www.google.com,,
Banavasi,,,,", all",14.5341,75.0177,www.google.com,,
Bandaje-Arbi Falls,,,Waterfalls,"Waterfalls, all",13.105802,75.415059,www.google.com,,
Bandaje-Arbi Falls,,,Waterfalls,"Waterfalls, all",13.105802,75.415059,www.google.com,,
Bandalike Lake,,,Water_Activities,"Water_Activities, all",14.481985,75.264677,www.google.com,,
Bandalike Temple Complex,,,Spiritual,"Spiritual, all",14.486589,75.267596,www.google.com,,
Bandhan Bank,,atm,,", all",12.97835183,77.6352342,www.google.com,,
Bandipur Forest Entry Checkpost,,,,", all",11.769121,76.547686,www.google.com,,
Bandipur National Park,,,National_Park,"National_Park, all",11.667945,76.631913,www.google.com,,
Bangalore Hospital,,Hospital,,", all",12.93770716,77.58043896,www.google.com,,
Bangalore Palace,,,Heritage,"Heritage, all",12.998678,77.592221,www.google.com,,
Bangarshettar Petrol Bunk,,Fuel Station,,", all",15.4219991,75.6224494,www.google.com,,
Bank of Baroda,,atm,,", all",13.33526863,74.7495458,www.google.com,,
Bank of Baroda,,atm,,", all",12.93673833,77.6259938,www.google.com,,
Bank of Baroda,,atm,,", all",12.93811113,77.5565458,www.google.com,,
Bank of Baroda,,atm,,", all",13.84745213,75.7044547,www.google.com,,
Bank of Baroda,,atm,,", all",12.99779703,77.6096526,www.google.com,,
Bank of Baroda,,atm,,", all",12.99964403,77.611418,www.google.com,,
Bank of Baroda,,atm,,", all",12.90992643,77.5810745,www.google.com,,
Bank of Baroda,,atm,,", all",12.92423113,77.6739044,www.google.com,,
Bank of Baroda,,atm,,", all",12.97276503,77.6190259,www.google.com,,
Bank of Baroda,,atm,,", all",12.89931503,77.4963246,www.google.com,,
Bank of Baroda,,atm,,", all",12.94727693,77.5799705,www.google.com,,
Bank of Baroda,,atm,,", all",12.86556853,77.6001278,www.google.com,,
Bank of Baroda,,atm,,", all",12.88322023,77.5660711,www.google.com,,
Bank of Baroda,,atm,,", all",12.93016133,77.618137,www.google.com,,
Bank of Baroda,,atm,,", all",13.05533763,77.6021935,www.google.com,,
Bank of Baroda,,atm,,", all",13.91980573,74.6001089,www.google.com,,
Bank of India,,atm,,", all",13.00152883,77.5694017,www.google.com,,
Bank of India,,atm,,", all",12.96596453,77.7140916,www.google.com,,
Bank of India,,atm,,", all",12.84035313,77.6637698,www.google.com,,
Bank of India,,atm,,", all",12.97627683,77.7286128,www.google.com,,
"Bank of India, City Engineering College Branch",,atm,,", all",12.88765053,77.5507441,www.google.com,,
Bank of Maharashtra,,atm,,", all",13.10396603,77.5715601,www.google.com,,
